发震时刻,经度,纬度,深度（千米）,参考位置,震级
2022/11/2 17:13,92.70 ,41.68 ,10,新疆哈密市伊州区,4.7
2022/11/2 6:06,91.96 ,33.18 ,9,青海海西州唐古拉地区,4.8
2022/11/1 21:48,86.75 ,33.11 ,10,西藏那曲市尼玛县,4.9
2022/11/1 16:30,122.46 ,24.74 ,100,台湾宜兰县海域,4.7
2022/10/31 16:48,121.28 ,22.84 ,10,台湾台东县海域,4.7
2022/10/23 23:06,77.85 ,37.71 ,17,新疆和田地区皮山县,5.1
2022/10/23 22:53,77.83 ,37.70 ,17,新疆和田地区皮山县,4.8
2022/10/22 13:17,102.03 ,29.61 ,12,四川甘孜州泸定县,5
2022/10/19 12:35,92.30 ,37.69 ,11,青海海西州茫崖市,5.5
2022/10/17 21:20,120.97 ,21.63 ,10,台湾屏东县海域,4.8
2022/10/16 16:54,78.13 ,39.42 ,17,新疆喀什地区巴楚县,5.1
2022/10/11 3:24,122.26 ,23.93 ,20,台湾花莲县海域,5.6
2022/10/7 0:36,127.00 ,27.45 ,200,琉球群岛,5.7
2022/9/19 10:07,121.35 ,23.42 ,10,台湾花莲县,5.7
2022/9/18 17:39,121.34 ,23.28 ,10,台湾花莲县,5.4
2022/9/18 16:46,121.23 ,23.14 ,15,台湾花莲县,4.9
2022/9/18 14:57,121.26 ,23.09 ,10,台湾台东县,4.8
2022/9/18 14:44,121.30 ,23.15 ,10,台湾花莲县,6.9
2022/9/18 14:32,121.20 ,23.17 ,10,台湾台东县,5
2022/9/18 13:19,121.27 ,23.09 ,12,台湾台东县,5.7
2022/9/17 22:45,121.25 ,23.10 ,10,台湾台东县,5.3
2022/9/17 22:35,121.20 ,23.10 ,10,台湾台东县,4.7
2022/9/17 21:55,121.29 ,23.10 ,10,台湾台东县,4.7
2022/9/17 21:41,121.21 ,23.05 ,10,台湾台东县,6.5
2022/9/5 12:52,102.08 ,29.59 ,16,四川甘孜泸定县,6.8
2022/8/22 10:53,123.59 ,25.29 ,150,琉球群岛,5.4
2022/8/15 16:30,99.26 ,38.43 ,8,青海海北州祁连县,4.7
2022/8/14 16:20,92.85 ,33.14 ,10,青海玉树州杂多县,5.9
2022/7/24 8:32,121.57 ,23.24 ,28,台湾台东县海域,4.7
2022/7/20 10:33,87.15 ,44.46 ,23,新疆昌吉州昌吉市,4.8
2022/7/3 6:02,78.14 ,40.88 ,10,新疆克孜勒苏州阿合奇县,5.2
2022/7/2 4:13,78.60 ,37.59 ,10,新疆和田地区皮山县,5.1
2022/7/1 2:40,121.10 ,19.05 ,10,菲律宾群岛,5.8
2022/6/28 21:43,120.11 ,22.18 ,20,台湾屏东县海域,5.3
2022/6/28 21:34,120.12 ,22.18 ,20,台湾屏东县海域,4.8
2022/6/28 4:07,120.13 ,22.08 ,25,台湾屏东县海域,4.7
2022/6/25 21:34,121.46 ,23.63 ,7,台湾花莲县,4.9
2022/6/24 6:32,122.33 ,24.13 ,8,台湾花莲县海域,4.9
2022/6/24 2:27,90.67 ,41.73 ,25,新疆吐鲁番市鄯善县,5.1
2022/6/20 9:05,121.52 ,23.66 ,10,台湾花莲县,5.9
2022/6/19 17:55,126.40 ,26.80 ,10,琉球群岛,5.5
2022/6/17 3:19,87.99 ,42.48 ,22,新疆巴音郭楞州和硕县,4.7
2022/6/10 3:27,101.85 ,32.24 ,15,四川阿坝州马尔康市,5.2
2022/6/10 1:28,101.82 ,32.25 ,13,四川阿坝州马尔康市,6
2022/6/10 0:03,101.82 ,32.27 ,10,四川阿坝州马尔康市,5.8
2022/6/8 14:52,77.78 ,36.09 ,10,新疆和田地区皮山县,5
